domain,company,vertical,industry_raw,region,source,list_year
rocketbaby.com,Letisan (RocketBaby),ecommerce_retail,Ecommerce,eu,ft1000_wayback:20230425220624,2020
gpcaregroup.org,Tower Hamlets GP Care Group,health,Health,uk,ft1000_wayback:20230425220624,2020
lockwoodpublishing.com,Lockwood Publishing,software_saas,Games industry,uk,ft1000_wayback:20230425220624,2020
xtreamcodes.io,Xtream Codes,software_saas,Technology,eu,ft1000_wayback:20230425220624,2020
mobilewaves.com,Mobile Wave Solutions,software_saas,Technology,eu,ft1000_wayback:20230425220624,2020
jbrcapital.com,JBR Capital,fintech_insurance,Financial Services,uk,ft1000_wayback:20230425220624,2020
fram.asia,Fram Skandinavien,software_saas,Technology,eu,ft1000_wayback:20230425220624,2020
versoproboscs.com,Versoprobo,services_other,Support Services,eu,ft1000_wayback:20230425220624,2020
proficio.io,Proficio Marketing,services_other,Advertising,eu,ft1000_wayback:20230425220624,2020
reversemediagroup.com,Reverse Media Group,services_other,Media,uk,ft1000_wayback:20230425220624,2020
grabyo.com,Grabyo,services_other,Media,uk,ft1000_wayback:20230425220624,2020
powerspace.com,Powerspace,software_saas,Technology,eu,ft1000_wayback:20230425220624,2020
remagroup.com,REMA-Solutions,services_other,Support Services,eu,ft1000_wayback:20230425220624,2020
gutemarken.com,Gute Marken Online,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20230425220624,2020
portagelearning.edu,My Portage,services_other,Support Services,eu,ft1000_wayback:20230425220624,2020
medicaltourismitaly.com,Medical Net,edtech,Education,eu,ft1000_wayback:20230425220624,2020
goodone.company,Good one,services_other,Sales & Marketing,eu,ft1000_wayback:20230425220624,2020
identogo.com,Idento,services_other,Management Consulting,eu,ft1000_wayback:20230425220624,2020
drdoctor.co.uk,DrDoctor,health,Health,uk,ft1000_wayback:20230425220624,2020
checkout.com,checkout.com,fintech_insurance,Fintech,uk,ft1000_wayback:20230425220624,2020
zeitwerk-personal.de,ZeitWerk Personal,services_other,Support Services,eu,ft1000_wayback:20230425220624,2020
hyperec.com,Hyper Recruitment Solutions,services_other,Support Services,uk,ft1000_wayback:20230425220624,2020
wewatch-security.com,WeWATCH Security Service,services_other,Support Services,eu,ft1000_wayback:20230425220624,2020
superawesome.com,SuperAwesome,software_saas,Technology,uk,ft1000_wayback:20230425220624,2020
industrieservices.de,BXR IndustrieService,services_other,Support Services,eu,ft1000_wayback:20230425220624,2020
kioskkiosk.com,City Shop West Kiosk,ecommerce_retail,Retail,eu,ft1000_wayback:20230425220624,2020
mytho.com,Mytho,health,Pharmaceuticals,eu,ft1000_wayback:20230425220624,2020
motius.com,Motius,services_other,Support Services,eu,ft1000_wayback:20230425220624,2020
ponzioaluminium.com,Lorefice & Ponzio,services_other,Support Services,eu,ft1000_wayback:20230425220624,2020
buzzoole.com,Buzzoole,services_other,Media,eu,ft1000_wayback:20230425220624,2020
monterosa.co,Monterosa Productions,software_saas,Technology,uk,ft1000_wayback:20230425220624,2020
duca1962.com,Gioielleria Duca,ecommerce_retail,Retail,eu,ft1000_wayback:20230425220624,2020
epidemicsound.com,Epidemic Sound,software_saas,Technology,eu,ft1000_wayback:20230425220624,2020
techpros.com,TECHPROS,software_saas,Technology,eu,ft1000_wayback:20230425220624,2020
assetzcapital.co.uk,Assetz Capital,fintech_insurance,Financial Services,uk,ft1000_wayback:20230425220624,2020
hivemq.com,HiveMQ,software_saas,Technology,eu,ft1000_wayback:20230425220624,2020
freestyle-chess.com,freestyle,edtech,Education,eu,ft1000_wayback:20230425220624,2020
laserwiresolutions.com,Laser Wire Solutions,software_saas,Technology,uk,ft1000_wayback:20230425220624,2020
conet.de,CO.NET,services_other,Support Services,eu,ft1000_wayback:20230425220624,2020
senergica.it,Senergica,services_other,Support Services,eu,ft1000_wayback:20230425220624,2020
vipcon.org,VIPCON,software_saas,Technology,eu,ft1000_wayback:20230425220624,2020
innercircle.agency,innercircle,services_other,Support Services,eu,ft1000_wayback:20230425220624,2020
