domain,company,vertical,industry_raw,region,source,list_year
favionline.com,Favi,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20220301043147,2022
hopkins.fi,Hopkins,services_other,Sales & Marketing,eu,ft1000_wayback:20220301043147,2022
apitalianluxury.com,AP Italian Luxury,ecommerce_retail,Fashion,eu,ft1000_wayback:20220301043147,2022
novicap.com,Novicap,fintech_insurance,Fintech,uk,ft1000_wayback:20220301043147,2022
iglm.store,IGLM Store,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20220301043147,2022
luis.de,LUIS Technology,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
quantexa.com,Quantexa,fintech_insurance,Fintech,uk,ft1000_wayback:20220301043147,2022
therapiezentrum.com,therapiezentrum.com NW,health,Health,eu,ft1000_wayback:20220301043147,2022
beauhurst.com,Beauhurst,software_saas,Technology,uk,ft1000_wayback:20220301043147,2022
mg-project.com,MG Project,services_other,Telecoms,eu,ft1000_wayback:20220301043147,2022
bonmea.com,BONMEA,ecommerce_retail,Retail,eu,ft1000_wayback:20220301043147,2022
devensys.com,Devensys Cybersecurity,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
maatwerkonline.nl,Maatwerk Online,services_other,Sales & Marketing,eu,ft1000_wayback:20220301043147,2022
esserrepharma.com,Esserre Pharma,health,Pharmaceuticals,eu,ft1000_wayback:20220301043147,2022
onbuy.com,OnBuy.com,ecommerce_retail,Ecommerce,uk,ft1000_wayback:20220301043147,2022
gojob.com,Gojob,services_other,Support Services,eu,ft1000_wayback:20220301043147,2022
newroom-media.de,Newroom,ecommerce_retail,Retail,eu,ft1000_wayback:20220301043147,2022
christmastheoriginal.com,Christmas the Original,ecommerce_retail,Retail,eu,ft1000_wayback:20220301043147,2022
comnovis.de,Comnovis IT,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
die-direktkontakter.de,Die Direktkontakter,services_other,Support Services,eu,ft1000_wayback:20220301043147,2022
lehibou.com,LeHibou,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
aquis.eu,Aquis Exchange,fintech_insurance,Financial Services,uk,ft1000_wayback:20220301043147,2022
chattermill.com,Chattermill,software_saas,Technology,uk,ft1000_wayback:20220301043147,2022
globalworkandtravel.com,Global Work,services_other,Telecoms,eu,ft1000_wayback:20220301043147,2022
allygatr.com,allygatr,services_other,Support Services,eu,ft1000_wayback:20220301043147,2022
rouvy.com,Rouvy,software_saas,Games industry,eu,ft1000_wayback:20220301043147,2022
crowdproperty.com,CrowdProperty,fintech_insurance,Fintech,uk,ft1000_wayback:20220301043147,2022
tutos.pro,Tutos’Me,edtech,Education,eu,ft1000_wayback:20220301043147,2022
gallasgroup.it,Gallas Group,services_other,Support Services,eu,ft1000_wayback:20220301043147,2022
etracom.net,Etracom,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20220301043147,2022
xalient.com,Xalient,software_saas,Technology,uk,ft1000_wayback:20220301043147,2022
labevolution.it,Labevolution,health,Health,eu,ft1000_wayback:20220301043147,2022
kyoelectric.es,Kyo Electric,services_other,Telecoms,eu,ft1000_wayback:20220301043147,2022
sopost.com,SoPost,software_saas,Technology,uk,ft1000_wayback:20220301043147,2022
sports-tech.com,Sportstech,ecommerce_retail,Retail,eu,ft1000_wayback:20220301043147,2022
routenote.com,RouteNote,software_saas,Technology,uk,ft1000_wayback:20220301043147,2022
doctify.com,Doctify,health,Health,uk,ft1000_wayback:20220301043147,2022
fruugo.co.uk,Fruugo,ecommerce_retail,Ecommerce,uk,ft1000_wayback:20220301043147,2022
insidemarketingdesign.com,Insidemarketing,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
atryshealth.com,Atrys Health,health,Health,eu,ft1000_wayback:20220301043147,2022
soorce.de,Soorce,services_other,Support Services,eu,ft1000_wayback:20220301043147,2022
sortlist.com,Sortlist,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
virtuslab.com,VirtusLab,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
skalhuset.se,SkalHuset.se,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20220301043147,2022
vipino-wein.de,VIPINO,ecommerce_retail,Retail,eu,ft1000_wayback:20220301043147,2022
gellify.com,Gellify,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
ambrosiana.it,Multiservice Ambrosiana,services_other,Support Services,eu,ft1000_wayback:20220301043147,2022
bittnet.ro,BITTNET,services_other,Management Consulting,eu,ft1000_wayback:20220301043147,2022
ibanfirst.com,Ibanfirst,fintech_insurance,Fintech,eu,ft1000_wayback:20220301043147,2022
uplink.xyz,UPLINK Network,services_other,Telecoms,eu,ft1000_wayback:20220301043147,2022
currentbody.com,CurrentBody,ecommerce_retail,Ecommerce,uk,ft1000_wayback:20220301043147,2022
startup-house.com,Startup Development House,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
gruppogheron.it,Gruppo Gheron,health,Health,eu,ft1000_wayback:20220301043147,2022
dyflowing.com,DyFlowing,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
personalizzalo.it,e-Pol / Personalizzalo,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20220301043147,2022
zeck-fishing.com,Zeck Fishing,ecommerce_retail,Retail,eu,ft1000_wayback:20220301043147,2022
storpool.com,StorPool Storage,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
vimcar.de,Vimcar,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
joannes-distribution.fr,JOANNES DISTRIBUTION SAS,ecommerce_retail,Retail,eu,ft1000_wayback:20220301043147,2022
sourcing-force.com,Sourcing Force,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
superprof.com,Superprof,edtech,Education,eu,ft1000_wayback:20220301043147,2022
improveasy.com,Improveasy,services_other,Management Consulting,uk,ft1000_wayback:20220301043147,2022
dynamicomeducation.it,Dynamicom Education,edtech,Education,eu,ft1000_wayback:20220301043147,2022
touch4it.com,Touch4IT,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
speechmatics.com,Speechmatics,software_saas,Technology,uk,ft1000_wayback:20220301043147,2022
prometeoweb.it,Prometeo,services_other,Support Services,eu,ft1000_wayback:20220301043147,2022
dialectica.io,Dialectica,services_other,Management Consulting,uk,ft1000_wayback:20220301043147,2022
wolfandbadger.com,Wolf & Badger,ecommerce_retail,Ecommerce,uk,ft1000_wayback:20220301043147,2022
