domain,vertical,region,company,batch,stratum,n_article_urls,best_path,qualified,error,crawls
verifone.com,fintech_insurance,us,2Checkout (now Verifone),g2.com_wayback,g2.com_wayback,200,blog.,True,,
communityphone.org,ecommerce,us,Community Phone Company,Winter 2019,yc,200,blog/,True,,
apollographql.com,devtools,us,Apollo,Summer 2011,yc,199,blog/,True,,
groundfloor.com,fintech_insurance,us,Groundfloor,inc.com_api_i5list,inc.com_api_i5list,198,blog.,True,,
flow.space,ecommerce,us,Flowspace,Summer 2017,yc,198,blog/,True,,
learnplatform.com,edtech,us,LearnPlatform,inc.com_api_i5list,inc.com_api_i5list,198,blog/,True,,
papa.com,ecommerce,us,Papa,Summer 2018,yc,197,resources/,True,,
brandbucket.com,ecommerce_retail,us,BrandBucket,inc.com_api_i5list,inc.com_api_i5list,196,blog/,True,,
code42.com,software_saas,us,Code42 Software,inc.com_api_i5list,inc.com_api_i5list,195,blog/,True,,
youraspire.com,software_saas,us,Aspire,inc.com_api_i5list,inc.com_api_i5list,195,blog/,True,,
sendowl.com,software_saas,,SendOwl,g2.com_wayback,g2.com_wayback,194,blog/,True,,
drsquatch.com,ecommerce_retail,us,Dr. Squatch,inc.com_api_i5list,inc.com_api_i5list,194,blog/,True,,
kipsu.com,software_saas,us,Kipsu Inc,inc.com_api_i5list,inc.com_api_i5list,194,blog/,True,,
jobvite.com,software_saas,,Jobvite,g2.com_wayback,g2.com_wayback,192,blog/,True,,
cascade.app,software_saas,us,Cascade Strategy,inc.com_api_i5list,inc.com_api_i5list,192,blog/,True,,
actioncleanup.com,ecommerce_retail,us,Action Unlimited Resources,inc.com_api_i5list,inc.com_api_i5list,192,blog/,True,,
mentorcollective.org,edtech,us,Mentor Collective,inc.com_api_i5list,inc.com_api_i5list,192,blog.,True,,
figma.com,software_saas,us,Figma,g2.com_wayback,g2.com_wayback,191,blog/,True,,
cariloha.com,ecommerce_retail,us,Cariloha,inc.com_api_i5list,inc.com_api_i5list,190,blog/,True,,
legionfarm.com,ecommerce,us,Legionfarm,Winter 2020,yc,189,blog/,True,,
threadwallets.com,ecommerce_retail,us,Thread Wallets,inc.com_api_i5list,inc.com_api_i5list,189,blog/,True,,
strongdm.com,software_saas,,strongDM,g2.com_wayback,g2.com_wayback,189,blog/,True,,
bellabeat.com,health,us,Bellabeat,yc_directory,yc_directory,188,blog/,True,,
territoryfoods.com,ecommerce_retail,us,Territory Foods,inc.com_api_i5list,inc.com_api_i5list,188,blog/,True,,
koyapartners.com,services_other,us,Koya Leadership Partners,inc.com_api_i5list,inc.com_api_i5list,187,blog/,True,,
autorabit.com,devtools,us,AutoRABIT,g2.com_wayback,g2.com_wayback,187,blog/,True,,
kurios.la,other,us,Kurios,Summer 2021,yc,187,blog/,True,,
canidium.com,services_other,us,Canidium,inc.com_api_i5list,inc.com_api_i5list,185,blog.,True,,
joinsmartpath.com,fintech,us,SmartPath,Summer 2016,yc,184,blog/,True,,
enjoywishlist.com,software_saas,us,Wishlist Rewards,inc.com_api_i5list,inc.com_api_i5list,184,blog.,True,,
starburst.io,software_saas,us,Starburst,inc.com_api_i5list,inc.com_api_i5list,184,blog/,True,,
embrace.io,devtools,us,Embrace,Summer 2019,yc,184,blog.,True,,
winelivery.com,ecommerce_retail,eu,Winelivery,ft1000_wayback:20220301043147,ft1000_wayback:20220301043147,183,blog.,True,,
triaxtec.com,software_saas,us,Triax Technologies,inc.com_api_i5list,inc.com_api_i5list,183,blog/,True,,
mixpanel.com,saas,us,Mixpanel,Summer 2009,yc,181,blog.,True,,
intekfreight-logistics.com,services_other,us,InTek Freight & Logistics,inc.com_api_i5list,inc.com_api_i5list,181,blog.,True,,
octopart.com,ecommerce_retail,us,Octopart,yc_directory,yc_directory,180,blog/,True,,
truora.com,software_saas,us,Truora,yc_directory,yc_directory,180,blog/,True,,
drinksupercoffee.com,ecommerce_retail,us,Kitu Life Super Coffee,inc.com_api_i5list,inc.com_api_i5list,179,blog/,True,,
koresoftware.com,software_saas,us,KORE Interactive Systems (USA),inc.com_api_i5list,inc.com_api_i5list,179,blog.,True,,
nexhealth.com,health,us,NexHealth,g2.com_wayback,g2.com_wayback,179,blog.,True,,
workramp.com,software_saas,us,WorkRamp,inc.com_api_i5list,inc.com_api_i5list,179,blog/,True,,
welltok.com,health,us,Welltok,inc.com_api_i5list,inc.com_api_i5list,179,blog.,True,,
tenjin.com,saas,us,Tenjin,Summer 2014,yc,178,blog.,True,,
apurata.com,fintech,us,Apurata,Summer 2019,yc,176,blog/,True,,
craftcoffee.com,ecommerce_retail,us,Craft Coffee,yc_directory,yc_directory,176,blog.,True,,
diamondbanc.com,fintech_insurance,us,Diamond Banc,inc.com_api_i5list,inc.com_api_i5list,176,blog/,True,,
bigtime.net,software_saas,us,BigTime,g2.com_wayback,g2.com_wayback,174,blog/,True,,
paymerang.com,fintech_insurance,us,Paymerang,inc.com_api_i5list,inc.com_api_i5list,174,blog/,True,,
rtgmedical.com,health,us,RTG Medical,inc.com_api_i5list,inc.com_api_i5list,174,blog.,True,,
privy.com,software_saas,us,Privy,g2.com_wayback,g2.com_wayback,174,blog/,True,,
solarmente.es,ecommerce,eu,SolarMente,Summer 2021,yc,174,blog/,True,,
blacktiemoving.com,services_other,us,Black Tie Moving,inc.com_api_i5list,inc.com_api_i5list,173,blog/,True,,
bookkeeper360.com,services_other,us,Bookkeeper360,inc.com_api_i5list,inc.com_api_i5list,172,blog/,True,,
endado.com,ecommerce_retail,eu,Recambios Endado,ft1000_wayback:20210331132419,ft1000_wayback:20210331132419,172,blog/,True,,
giveffect.com,saas,us,Giveffect,Winter 2015,yc,172,blog/,True,,
divvycloud.com,software_saas,us,DivvyCloud,inc.com_api_i5list,inc.com_api_i5list,171,blog/,True,,
smarterfinanceusa.com,fintech_insurance,us,Smarter Equipment Finance,inc.com_api_i5list,inc.com_api_i5list,171,blog/,True,,
pawtree.com,ecommerce_retail,us,pawTree,inc.com_api_i5list,inc.com_api_i5list,171,blog/,True,,
gocheetah.com,ecommerce,us,Cheetah,Winter 2013,yc,170,blog/,True,,
suiteness.com,ecommerce,us,Suiteness,Summer 2016,yc,169,blog/,True,,
onesignal.com,devtools,us,OneSignal,Summer 2011,yc,168,blog/,True,,
firebase.com,devtools,us,Firebase,Summer 2011,yc,168,blog/,True,,
coderhouse.com,other,us,Coderhouse,Winter 2021,yc,168,blog/,True,,
ndreams.com,software_saas,uk,nDreams,ft1000_wayback:20210331132419,ft1000_wayback:20210331132419,167,blog/,True,,
patternlife.com,fintech_insurance,us,Pattern,inc.com_api_i5list,inc.com_api_i5list,167,blog/,True,,
ninetwothree.co,services_other,us,NineTwoThree Ai Studio,inc.com_api_i5list,inc.com_api_i5list,166,blog/,True,,
replit.com,devtools,us,Replit,Winter 2018,yc,165,blog.,True,,
thirdera.com,services_other,us,Thirdera,inc.com_api_i5list,inc.com_api_i5list,165,blog/,True,,
winmo.com,software_saas,us,List Partners,inc.com_api_i5list,inc.com_api_i5list,165,blog.,True,,
moltin.com,fintech,us,Moltin,Winter 2015,yc,164,blog/,True,,
ejisinc.com,ecommerce_retail,us,Ejis,inc.com_api_i5list,inc.com_api_i5list,164,blog/,True,,
lasso.io,software_saas,us,Lasso,inc.com_api_i5list,inc.com_api_i5list,163,blog/,True,,
idera.com,devtools,us,FusionCharts,g2.com_wayback,g2.com_wayback,163,blog.,True,,
binti.com,software_saas,us,Binti,inc.com_api_i5list,inc.com_api_i5list,163,blog/,True,,
posthog.com,devtools,us,PostHog,Winter 2020,yc,162,blog/,True,,
agilethought.com,services_other,us,AgileThought,inc.com_api_i5list,inc.com_api_i5list,161,blog/,True,,
realm.io,devtools,eu,Realm,Summer 2011,yc,160,blog/,True,,
plivo.com,software_saas,us,Plivo,yc_directory,yc_directory,160,blog/,True,,
sqreen.com,saas,us,Sqreen,Winter 2018,yc,160,blog.,True,,
barebonesbroth.com,ecommerce_retail,us,Bare Bones,inc.com_api_i5list,inc.com_api_i5list,159,blog/,True,,
sfox.com,fintech,us,SFOX,Summer 2014,yc,159,blog/,True,,
splendies.com,ecommerce_retail,us,Splendies,inc.com_api_i5list,inc.com_api_i5list,159,blog/,True,,
decisionlink.com,software_saas,us,DecisionLink Corporation,inc.com_api_i5list,inc.com_api_i5list,159,blog/,True,,
circleci.com,devtools,us,CircleCI,g2.com_wayback,g2.com_wayback,158,blog/,True,,
appwinit.com,services_other,us,WinIt,inc.com_api_i5list,inc.com_api_i5list,158,blog.,True,,
computersolutionseast.com,services_other,us,Computer Solutions East,inc.com_api_i5list,inc.com_api_i5list,156,blog/,True,,
leandna.com,software_saas,us,LeanDNA,inc.com_api_i5list,inc.com_api_i5list,156,blog/,True,,
nativepestmanagement.com,services_other,us,Native Pest Management,inc.com_api_i5list,inc.com_api_i5list,156,blog/,True,,
pdq.com,software_saas,us,PDQ.com Corporation,inc.com_api_i5list,inc.com_api_i5list,155,blog/,True,,
budgetdumpster.com,services_other,us,Budget Dumpster,inc.com_api_i5list,inc.com_api_i5list,155,blog/,True,,
sidebysidestuff.com,ecommerce_retail,us,Side By Side Stuff,inc.com_api_i5list,inc.com_api_i5list,154,blog.,True,,
sorted.com,software_saas,uk,Sorted Group,ft1000_wayback:20210331132419,ft1000_wayback:20210331132419,154,blog/,True,,
letstalkinteractive.com,health,,Let's Talk Telehealth Video Conferencing Office Suite,g2.com_wayback,g2.com_wayback,153,blog/,True,,
vidyard.com,saas,us,Vidyard,Summer 2011,yc,153,blog/,True,,
northgatevehiclehire.co.uk,services_other,uk,GAP Vehicle Hire,ft1000_wayback:20230425220624,ft1000_wayback:20230425220624,150,blog/,True,,
